,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
regime_probs[105],0.508,0.207,0.142,0.872,0.004,0.002,2744.0,5319.0,1.0
regime_probs[106],0.5,0.206,0.129,0.854,0.003,0.002,3870.0,5119.0,1.0
regime_probs[107],0.5,0.209,0.133,0.872,0.003,0.002,6220.0,5638.0,1.0
regime_probs[108],0.511,0.211,0.145,0.885,0.006,0.002,1111.0,4135.0,1.0
regime_probs[109],0.5,0.208,0.132,0.868,0.003,0.002,3758.0,4764.0,1.0
regime_probs[110],0.506,0.21,0.14,0.881,0.006,0.002,1404.0,4903.0,1.0
regime_probs[111],0.516,0.206,0.164,0.89,0.006,0.002,1061.0,3704.0,1.0
regime_probs[112],0.502,0.209,0.149,0.884,0.002,0.002,7374.0,5816.0,1.0
regime_probs[113],0.495,0.209,0.128,0.864,0.003,0.002,3939.0,4675.0,1.0
regime_probs[114],0.502,0.212,0.133,0.869,0.007,0.002,799.0,414.0,1.01
regime_probs[115],0.509,0.206,0.141,0.876,0.005,0.002,2149.0,5815.0,1.0
regime_probs[116],0.501,0.212,0.124,0.864,0.003,0.002,4601.0,5026.0,1.0
regime_probs[117],0.494,0.209,0.13,0.86,0.003,0.002,6066.0,5890.0,1.0
regime_probs[118],0.503,0.206,0.141,0.872,0.003,0.002,5157.0,4277.0,1.0
regime_probs[119],0.498,0.209,0.132,0.867,0.006,0.002,1347.0,520.0,1.0
